Sr. No.;Instruction ;Instruction Category;Sub-extension;#Bits;QEMU priority
1;qc.addsat rd, rs1, rs2 ;Arithmetic;Xqcia;32;
2;qc.addusat rd, rs1, rs2 ;Arithmetic;Xqcia;32;
3;qc.beqi rs1, imm, offset ;Branch immediate;Xqcibi;32;2
4;qc.bgei rs1, imm, offset ;Branch immediate;Xqcibi;32;2
5;qc.bgeui rs1, imm, offset ;Branch immediate;Xqcibi;32;2
6;qc.blti rs1, imm, offset ;Branch immediate;Xqcibi;32;2
7;qc.bltui rs1, imm, offset ;Branch immediate;Xqcibi;32;2
8;qc.bnei rs1, imm, offset ;Branch immediate;Xqcibi;32;2
9;qc.brev32 rd, rs1 ;Bit manipulation;Xqcibm;16;
10;qc.c.bexti rd, shamt ;Bit manipulation;Xqcibm;16;6
11;qc.c.bseti rd, shamt ;Bit manipulation;Xqcibm;16;6
12;qc.c.extu rd, width ;Bit manipulation;Xqcibm;16;6
13;qc.c.mienter;Interrupt prolog epilog;Xqciint;16;8
14;qc.c.mienter.nest;Interrupt prolog epilog;Xqciint;16;8
15;qc.c.mileaveret;Interrupt prolog epilog;Xqciint;16;8
16;qc.c.muliadd rd, rs1, uimm;Load Store address calculation helper;Xqciac;16;4
17;qc.c.mveqz rd, rs1;Conditional move;Xqcicm;16;
18;qc.clo rd, rs1 ;Bit manipulation;Xqcibm;32;
19;qc.cto rd, rs1 ;Bit manipulation;Xqcibm;32;
20;qc.e.addai rd, imm ;Large Immediate arithmetic;Xqcilia;48;5
21;qc.e.addi rd, rs1, imm ;Large Immediate arithmetic;Xqcilia;48;5
22;qc.e.andai rd, imm ;Large Immediate arithmetic;Xqcilia;48;5
23;qc.e.andi rd, rs1, imm ;Large Immediate arithmetic;Xqcilia;48;5
24;qc.e.beqi rs1, imm, offset ;Branch immediate;Xqcibi;48;2
25;qc.e.bgei rs1, imm, offset ;Branch immediate;Xqcibi;48;2
26;qc.e.bgeui rs1, imm, offset ;Branch immediate;Xqcibi;48;2
27;qc.e.blti rs1, imm, offset ;Branch immediate;Xqcibi;48;2
28;qc.e.bltui rs1, imm, offset ;Branch immediate;Xqcibi;48;2
29;qc.e.bnei rs1, imm, offset ;Branch immediate;Xqcibi;48;2
30;qc.e.j imm ;Long Branch;Xqcilb;48;
31;qc.e.jal imm ;Long Branch;Xqcilb;48;
32;qc.e.lb rd, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
33;qc.e.lbu rd, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
34;qc.e.lh rd, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
35;qc.e.lhu rd, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
36;qc.e.li rd, imm ;Large Immediate;Xqcili;48;1
37;qc.e.lw rd, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
38;qc.e.orai rd, imm ;Large Immediate arithmetic;Xqcilia;48;5
39;qc.e.ori rd, rs1, imm ;Large Immediate arithmetic;Xqcilia;48;5
40;qc.e.sb rs2, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
41;qc.e.sh rs2, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
42;qc.e.sw rs2, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
