Sr. No.;Instruction ;Instruction Category;Sub-extension;#Bits;QEMU priority
1;qc.li rd, imm ;Large Immediate;Xqcili;32;1
2;qc.e.li rd, imm ;Large Immediate;Xqcili;48;1
3;qc.beqi rs1, imm, offset ;Branch immediate;Xqcibi;32;2
4;qc.bgei rs1, imm, offset ;Branch immediate;Xqcibi;32;2
5;qc.bgeui rs1, imm, offset ;Branch immediate;Xqcibi;32;2
6;qc.blti rs1, imm, offset ;Branch immediate;Xqcibi;32;2
7;qc.bltui rs1, imm, offset ;Branch immediate;Xqcibi;32;2
8;qc.bnei rs1, imm, offset ;Branch immediate;Xqcibi;32;2
9;qc.e.beqi rs1, imm, offset ;Branch immediate;Xqcibi;48;2
10;qc.e.bgei rs1, imm, offset ;Branch immediate;Xqcibi;48;2
11;qc.e.bgeui rs1, imm, offset ;Branch immediate;Xqcibi;48;2
12;qc.e.blti rs1, imm, offset ;Branch immediate;Xqcibi;48;2
13;qc.e.bltui rs1, imm, offset ;Branch immediate;Xqcibi;48;2
14;qc.e.bnei rs1, imm, offset ;Branch immediate;Xqcibi;48;2
15;qc.e.lb rd, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
16;qc.e.lbu rd, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
17;qc.e.lh rd, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
18;qc.e.lhu rd, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
19;qc.e.lw rd, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
20;qc.e.sb rs2, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
21;qc.e.sh rs2, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
22;qc.e.sw rs2, imm(rs1) ;Large Offset Ld St;Xqcilo;48;3
23;qc.c.muladdi rd, rs1, uimm;Load Store address calculation helper;Xqciac;16;4
24;qc.muladdi rd, rs1, imm ;Load Store address calculation helper;Xqciac;32;4
25;qc.shladd;Load Store address calculation helper;Xqciac;32;4
